Payment_Mode,Total_Transactions_count,Total_Amount,Quarter,Year,State
Recharge & bill payments,4200,1845307.4673655091,1,2018,andaman-&-nicobar-islands
Peer-to-peer payments,1871,12138655.299749982,1,2018,andaman-&-nicobar-islands
Merchant payments,298,452507.168646613,1,2018,andaman-&-nicobar-islands
Financial Services,33,10601.419933464953,1,2018,andaman-&-nicobar-islands
Others,256,184689.8662902223,1,2018,andaman-&-nicobar-islands
Recharge & bill payments,6735,2320944.731074479,2,2018,andaman-&-nicobar-islands
Peer-to-peer payments,3575,24511925.23104766,2,2018,andaman-&-nicobar-islands
Merchant payments,603,1024491.0133579008,2,2018,andaman-&-nicobar-islands
Financial Services,59,121336.0270987509,2,2018,andaman-&-nicobar-islands
Others,368,359838.50537474576,2,2018,andaman-&-nicobar-islands
Recharge & bill payments,8636,4343504.868377829,3,2018,andaman-&-nicobar-islands
Peer-to-peer payments,6448,49270781.541635044,3,2018,andaman-&-nicobar-islands
Merchant payments,945,1627359.8394868043,3,2018,andaman-&-nicobar-islands
Financial Services,42,1481.4907042806485,3,2018,andaman-&-nicobar-islands
Others,194,314343.39410715323,3,2018,andaman-&-nicobar-islands
Recharge & bill payments,11517,5450549.512294375,4,2018,andaman-&-nicobar-islands
Peer-to-peer payments,10451,81001456.97825177,4,2018,andaman-&-nicobar-islands
Merchant payments,1421,3552027.735492656,4,2018,andaman-&-nicobar-islands
Financial Services,29,76035.7877393286,4,2018,andaman-&-nicobar-islands
Others,340,468266.0606770435,4,2018,andaman-&-nicobar-islands
Recharge & bill payments,15263,6611459.8729725825,1,2019,andaman-&-nicobar-islands
Peer-to-peer payments,13119,91808345.86839552,1,2019,andaman-&-nicobar-islands
Merchant payments,1759,3266589.8469614363,1,2019,andaman-&-nicobar-islands
Financial Services,62,116250.43671861099,1,2019,andaman-&-nicobar-islands
Others,283,497094.6484417205,1,2019,andaman-&-nicobar-islands
Recharge & bill payments,14676,7242448.256212333,2,2019,andaman-&-nicobar-islands
Peer-to-peer payments,14481,107525358.66652839,2,2019,andaman-&-nicobar-islands
Merchant payments,4031,4702152.616619372,2,2019,andaman-&-nicobar-islands
Financial Services,124,113278.91371326067,2,2019,andaman-&-nicobar-islands
Others,377,671471.222589792,2,2019,andaman-&-nicobar-islands
Recharge & bill payments,16219,8171737.705916681,3,2019,andaman-&-nicobar-islands
Peer-to-peer payments,13767,101079821.10344611,3,2019,andaman-&-nicobar-islands
Merchant payments,3519,4428734.574846684,3,2019,andaman-&-nicobar-islands
Financial Services,50,158857.94315586874,3,2019,andaman-&-nicobar-islands
Others,215,232624.75992853564,3,2019,andaman-&-nicobar-islands
Peer-to-peer payments,18128,121493224.3075451,4,2019,andaman-&-nicobar-islands
Recharge & bill payments,13851,9538690.916424634,4,2019,andaman-&-nicobar-islands
Merchant payments,2920,5247500.487902376,4,2019,andaman-&-nicobar-islands
Financial Services,60,295937.2110898865,4,2019,andaman-&-nicobar-islands
Others,200,263177.5944158883,4,2019,andaman-&-nicobar-islands
Peer-to-peer payments,18324,142332401.7923477,1,2020,andaman-&-nicobar-islands
Recharge & bill payments,18268,10850414.023977451,1,2020,andaman-&-nicobar-islands
Merchant payments,4424,7752871.558217709,1,2020,andaman-&-nicobar-islands
Financial Services,66,208231.73071652642,1,2020,andaman-&-nicobar-islands
Others,216,332393.19201521645,1,2020,andaman-&-nicobar-islands
Recharge & bill payments,38125,17659622.73418829,2,2020,andaman-&-nicobar-islands
Peer-to-peer payments,20303,141728757.73517442,2,2020,andaman-&-nicobar-islands
Merchant payments,4004,9236375.740471343,2,2020,andaman-&-nicobar-islands
Financial Services,175,706932.1397115812,2,2020,andaman-&-nicobar-islands
Others,355,313313.0646014327,2,2020,andaman-&-nicobar-islands
Recharge & bill payments,59310,24756220.87546935,3,2020,andaman-&-nicobar-islands
Peer-to-peer payments,40697,289078946.7312394,3,2020,andaman-&-nicobar-islands
Merchant payments,16096,22682992.238478817,3,2020,andaman-&-nicobar-islands
Financial Services,572,961836.7129860274,3,2020,andaman-&-nicobar-islands
Others,808,539449.7721868362,3,2020,andaman-&-nicobar-islands
Peer-to-peer payments,81439,533316526.1814983,4,2020,andaman-&-nicobar-islands
Recharge & bill payments,80811,33710030.53438324,4,2020,andaman-&-nicobar-islands
Merchant payments,59391,56867468.94000395,4,2020,andaman-&-nicobar-islands
Financial Services,965,1880546.9672370641,4,2020,andaman-&-nicobar-islands
Others,1925,1508083.6917299272,4,2020,andaman-&-nicobar-islands
Peer-to-peer payments,105458,665391395.715478,1,2021,andaman-&-nicobar-islands
Recharge & bill payments,84119,37160922.86506996,1,2021,andaman-&-nicobar-islands
Merchant payments,53090,78606979.05751458,1,2021,andaman-&-nicobar-islands
Financial Services,884,1469351.0852598653,1,2021,andaman-&-nicobar-islands
Others,1201,1077918.666433228,1,2021,andaman-&-nicobar-islands
Peer-to-peer payments,132772,748382044.7707307,2,2021,andaman-&-nicobar-islands
Recharge & bill payments,120911,43691961.26275121,2,2021,andaman-&-nicobar-islands
Merchant payments,85143,103707408.5090846,2,2021,andaman-&-nicobar-islands
