Brand_Name,Registered_Users_Count,Percentage_Share_of_Brand,Quarter,Year,State
Xiaomi,1665,0.24703264094955402,1,2018,andaman-&-nicobar-islands
Samsung,1445,0.21439169139465802,1,2018,andaman-&-nicobar-islands
Vivo,982,0.145697329376854,1,2018,andaman-&-nicobar-islands
Oppo,501,0.07433234421364901,1,2018,andaman-&-nicobar-islands
OnePlus,332,0.049258160237388,1,2018,andaman-&-nicobar-islands
Realme,316,0.046884272997032,1,2018,andaman-&-nicobar-islands
Apple,229,0.033976261127596004,1,2018,andaman-&-nicobar-islands
Motorola,226,0.033531157270029005,1,2018,andaman-&-nicobar-islands
Lenovo,202,0.029970326409495002,1,2018,andaman-&-nicobar-islands
Huawei,158,0.023442136498516,1,2018,andaman-&-nicobar-islands
Others,684,0.10148367952522201,1,2018,andaman-&-nicobar-islands
Xiaomi,2303,0.24486975013290802,2,2018,andaman-&-nicobar-islands
Samsung,1923,0.20446570972886702,2,2018,andaman-&-nicobar-islands
Vivo,1523,0.16193514088250902,2,2018,andaman-&-nicobar-islands
Oppo,708,0.075279106858054,2,2018,andaman-&-nicobar-islands
OnePlus,466,0.049548112706007,2,2018,andaman-&-nicobar-islands
Realme,465,0.049441786283891,2,2018,andaman-&-nicobar-islands
Motorola,319,0.03391812865497,2,2018,andaman-&-nicobar-islands
Apple,308,0.032748538011695,2,2018,andaman-&-nicobar-islands
Lenovo,244,0.025943646996278002,2,2018,andaman-&-nicobar-islands
Huawei,230,0.024455077086656,2,2018,andaman-&-nicobar-islands
Others,916,0.09739500265816001,2,2018,andaman-&-nicobar-islands
Xiaomi,2950,0.24281833895793803,3,2018,andaman-&-nicobar-islands
Samsung,2409,0.19828792493209302,3,2018,andaman-&-nicobar-islands
Vivo,2063,0.16980821466787302,3,2018,andaman-&-nicobar-islands
Oppo,988,0.081323565725574,3,2018,andaman-&-nicobar-islands
OnePlus,617,0.050786072927812,3,2018,andaman-&-nicobar-islands
Realme,603,0.049633714709029005,3,2018,andaman-&-nicobar-islands
Motorola,390,0.032101407523252,3,2018,andaman-&-nicobar-islands
Apple,371,0.030537492797761003,3,2018,andaman-&-nicobar-islands
Huawei,314,0.025845748621285,3,2018,andaman-&-nicobar-islands
Lenovo,299,0.02461107910116,3,2018,andaman-&-nicobar-islands
Others,1145,0.094246440036216,3,2018,andaman-&-nicobar-islands
Xiaomi,3719,0.244317435291026,4,2018,andaman-&-nicobar-islands
Samsung,2936,0.19287872815661503,4,2018,andaman-&-nicobar-islands
Vivo,2742,0.180134016554986,4,2018,andaman-&-nicobar-islands
Oppo,1268,0.08330048613848301,4,2018,andaman-&-nicobar-islands
Realme,760,0.049927736171330006,4,2018,andaman-&-nicobar-islands
OnePlus,721,0.047365654973065004,4,2018,andaman-&-nicobar-islands
Motorola,474,0.031139140717382004,4,2018,andaman-&-nicobar-islands
Apple,455,0.029890947313099003,4,2018,andaman-&-nicobar-islands
Huawei,398,0.026146367100249004,4,2018,andaman-&-nicobar-islands
Lenovo,377,0.024766784916568002,4,2018,andaman-&-nicobar-islands
Others,1372,0.090132702667192,4,2018,andaman-&-nicobar-islands
Xiaomi,4576,0.24607442460744203,1,2019,andaman-&-nicobar-islands
Samsung,3567,0.191815444181544,1,2019,andaman-&-nicobar-islands
Vivo,3420,0.18391051839105102,1,2019,andaman-&-nicobar-islands
Oppo,1600,0.086040008604,1,2019,andaman-&-nicobar-islands
Realme,897,0.048236179823617005,1,2019,andaman-&-nicobar-islands
OnePlus,855,0.045977629597762006,1,2019,andaman-&-nicobar-islands
