state,Registered_Users
Puducherry,49318
Tamil Nadu,2104754
Uttar Pradesh,4694250
Madhya Pradesh,2553603
Andhra Pradesh,3336450
Tripura,55157
Lakshadweep,501
Manipur,29925
Maharashtra,6106994
Dadra and Nagar Haveli and Daman and Diu,53258
Meghalaya,18513
Andaman & Nicobar,6740
Haryana,1847357
Rajasthan,3158202
Ladakh,8784
Punjab,847142
Assam,385237
Jharkhand,885762
Odisha,1594015
Bihar,2133804
Kerala,784184
Karnataka,3717763
Chandigarh,86268
Telangana,3315560
Himachal Pradesh,227373
West Bengal,2604789
Gujarat,2690048
Sikkim,20051
Nagaland,15074
Mizoram,7593
Chhattisgarh,679263
Jammu & Kashmir,176425
Goa,91936
Arunachal Pradesh,21495
Delhi,2087022
Uttarakhand,483043
