Place_Name,Total_Transactions_count,Total_Amount,Quarter,Year,State,MyIndex
north and middle andaman district,442,931663.0770939871,1,2018,andaman-&-nicobar-islands,0
south andaman district,5688,12560249.34366581,1,2018,andaman-&-nicobar-islands,1
nicobars district,528,1139848.801225994,1,2018,andaman-&-nicobar-islands,2
north and middle andaman district,825,1317863.0834906558,2,2018,andaman-&-nicobar-islands,3
south andaman district,9395,23948235.51634325,2,2018,andaman-&-nicobar-islands,4
nicobars district,1120,3072436.9081196385,2,2018,andaman-&-nicobar-islands,5
north and middle andaman district,1283,4901529.518499676,3,2018,andaman-&-nicobar-islands,6
south andaman district,13511,44268112.464252464,3,2018,andaman-&-nicobar-islands,7
nicobars district,1471,6387829.151558982,3,2018,andaman-&-nicobar-islands,8
north and middle andaman district,2137,7955635.917688001,4,2018,andaman-&-nicobar-islands,9
south andaman district,20136,75411840.8018554,4,2018,andaman-&-nicobar-islands,10
nicobars district,1485,7180859.354911782,4,2018,andaman-&-nicobar-islands,11
north and middle andaman district,3264,9561708.736298349,1,2019,andaman-&-nicobar-islands,12
south andaman district,25683,85501972.38780196,1,2019,andaman-&-nicobar-islands,13
nicobars district,1539,7236059.549389593,1,2019,andaman-&-nicobar-islands,14
north and middle andaman district,3371,8612103.137888122,2,2019,andaman-&-nicobar-islands,15
south andaman district,28490,102530955.71341252,2,2019,andaman-&-nicobar-islands,16
nicobars district,1828,9111650.82436246,2,2019,andaman-&-nicobar-islands,17
north and middle andaman district,4049,11481466.28335679,3,2019,andaman-&-nicobar-islands,18
south andaman district,27421,91023888.32848611,3,2019,andaman-&-nicobar-islands,19
nicobars district,2300,11566421.47545101,3,2019,andaman-&-nicobar-islands,20
north and middle andaman district,4716,13524056.78457394,4,2019,andaman-&-nicobar-islands,21
south andaman district,27843,110930312.2061162,4,2019,andaman-&-nicobar-islands,22
nicobars district,2600,12384161.52668771,4,2019,andaman-&-nicobar-islands,23
north and middle andaman district,5674,14697371.6178571,1,2020,andaman-&-nicobar-islands,24
south andaman district,32713,134679396.90582752,1,2020,andaman-&-nicobar-islands,25
nicobars district,2911,12099543.77359005,1,2020,andaman-&-nicobar-islands,26
north and middle andaman district,10979,22447714.061058957,2,2020,andaman-&-nicobar-islands,27
