Place_Name,Registered_Users_Count,App_Openings,Quarter,Year,State
north and middle andaman district,632,0,1,2018,andaman-&-nicobar-islands
south andaman district,5846,0,1,2018,andaman-&-nicobar-islands
nicobars district,262,0,1,2018,andaman-&-nicobar-islands
north and middle andaman district,911,0,2,2018,andaman-&-nicobar-islands
south andaman district,8143,0,2,2018,andaman-&-nicobar-islands
nicobars district,351,0,2,2018,andaman-&-nicobar-islands
north and middle andaman district,1208,0,3,2018,andaman-&-nicobar-islands
south andaman district,10474,0,3,2018,andaman-&-nicobar-islands
nicobars district,467,0,3,2018,andaman-&-nicobar-islands
north and middle andaman district,1553,0,4,2018,andaman-&-nicobar-islands
south andaman district,13133,0,4,2018,andaman-&-nicobar-islands
nicobars district,536,0,4,2018,andaman-&-nicobar-islands
north and middle andaman district,2013,0,1,2019,andaman-&-nicobar-islands
south andaman district,15961,0,1,2019,andaman-&-nicobar-islands
nicobars district,622,0,1,2019,andaman-&-nicobar-islands
north and middle andaman district,2417,6118,2,2019,andaman-&-nicobar-islands
south andaman district,18621,43569,2,2019,andaman-&-nicobar-islands
nicobars district,693,2953,2,2019,andaman-&-nicobar-islands
north and middle andaman district,2662,22064,3,2019,andaman-&-nicobar-islands
south andaman district,20518,138190,3,2019,andaman-&-nicobar-islands
nicobars district,751,10853,3,2019,andaman-&-nicobar-islands
north and middle andaman district,2955,26253,4,2019,andaman-&-nicobar-islands
south andaman district,22202,139646,4,2019,andaman-&-nicobar-islands
nicobars district,803,11113,4,2019,andaman-&-nicobar-islands
north and middle andaman district,3315,30444,1,2020,andaman-&-nicobar-islands
south andaman district,24174,151529,1,2020,andaman-&-nicobar-islands
nicobars district,879,11613,1,2020,andaman-&-nicobar-islands
north and middle andaman district,4100,56992,2,2020,andaman-&-nicobar-islands
south andaman district,27626,231071,2,2020,andaman-&-nicobar-islands
nicobars district,984,17009,2,2020,andaman-&-nicobar-islands
north and middle andaman district,5355,76553,3,2020,andaman-&-nicobar-islands
south andaman district,34833,417785,3,2020,andaman-&-nicobar-islands
nicobars district,1147,21227,3,2020,andaman-&-nicobar-islands
north and middle andaman district,7076,125915,4,2020,andaman-&-nicobar-islands
south andaman district,43908,725321,4,2020,andaman-&-nicobar-islands
nicobars district,1412,35972,4,2020,andaman-&-nicobar-islands
north and middle andaman district,7833,121680,1,2021,andaman-&-nicobar-islands
south andaman district,48352,837589,1,2021,andaman-&-nicobar-islands
nicobars district,1573,45067,1,2021,andaman-&-nicobar-islands
north and middle andaman district,8493,596182,2,2021,andaman-&-nicobar-islands
south andaman district,51903,1270226,2,2021,andaman-&-nicobar-islands
nicobars district,1699,381815,2,2021,andaman-&-nicobar-islands
north and middle andaman district,9263,759314,3,2021,andaman-&-nicobar-islands
south andaman district,55873,1771107,3,2021,andaman-&-nicobar-islands
nicobars district,1846,591204,3,2021,andaman-&-nicobar-islands
north and middle andaman district,10002,171921,4,2021,andaman-&-nicobar-islands
south andaman district,59807,1863037,4,2021,andaman-&-nicobar-islands
nicobars district,1971,77952,4,2021,andaman-&-nicobar-islands
north and middle andaman district,10720,904869,1,2022,andaman-&-nicobar-islands
south andaman district,63487,2368756,1,2022,andaman-&-nicobar-islands
nicobars district,2081,573782,1,2022,andaman-&-nicobar-islands
north and middle andaman district,11379,963824,2,2022,andaman-&-nicobar-islands
south andaman district,66959,3404740,2,2022,andaman-&-nicobar-islands
nicobars district,2192,811449,2,2022,andaman-&-nicobar-islands
north and middle andaman district,11897,1176567,3,2022,andaman-&-nicobar-islands
south andaman district,70445,3607286,3,2022,andaman-&-nicobar-islands
nicobars district,2300,1284501,3,2022,andaman-&-nicobar-islands
north and middle andaman district,12361,313502,4,2022,andaman-&-nicobar-islands
south andaman district,73692,3881359,4,2022,andaman-&-nicobar-islands
nicobars district,2389,159232,4,2022,andaman-&-nicobar-islands
east godavari district,350356,0,1,2018,andhra-pradesh
srikakulam district,143839,0,1,2018,andhra-pradesh
visakhapatnam district,497187,0,1,2018,andhra-pradesh
prakasam district,189949,0,1,2018,andhra-pradesh
anantapur district,241192,0,1,2018,andhra-pradesh
kurnool district,240133,0,1,2018,andhra-pradesh
guntur district,317065,0,1,2018,andhra-pradesh
krishna district,323673,0,1,2018,andhra-pradesh
spsr nellore district,194475,0,1,2018,andhra-pradesh
vizianagaram district,128905,0,1,2018,andhra-pradesh
ysr district,186800,0,1,2018,andhra-pradesh
west godavari district,213335,0,1,2018,andhra-pradesh
chittoor district,309541,0,1,2018,andhra-pradesh
east godavari district,454398,0,2,2018,andhra-pradesh
srikakulam district,186913,0,2,2018,andhra-pradesh
visakhapatnam district,636052,0,2,2018,andhra-pradesh
prakasam district,253458,0,2,2018,andhra-pradesh
anantapur district,326383,0,2,2018,andhra-pradesh
kurnool district,319313,0,2,2018,andhra-pradesh
guntur district,420326,0,2,2018,andhra-pradesh
krishna district,431965,0,2,2018,andhra-pradesh
spsr nellore district,261049,0,2,2018,andhra-pradesh
vizianagaram district,167327,0,2,2018,andhra-pradesh
ysr district,248657,0,2,2018,andhra-pradesh
west godavari district,282393,0,2,2018,andhra-pradesh
chittoor district,414306,0,2,2018,andhra-pradesh
east godavari district,558982,0,3,2018,andhra-pradesh
srikakulam district,228456,0,3,2018,andhra-pradesh
visakhapatnam district,769096,0,3,2018,andhra-pradesh
prakasam district,314899,0,3,2018,andhra-pradesh
anantapur district,405855,0,3,2018,andhra-pradesh
kurnool district,394311,0,3,2018,andhra-pradesh
guntur district,518931,0,3,2018,andhra-pradesh
krishna district,537086,0,3,2018,andhra-pradesh
spsr nellore district,322446,0,3,2018,andhra-pradesh
vizianagaram district,203655,0,3,2018,andhra-pradesh
ysr district,308391,0,3,2018,andhra-pradesh
west godavari district,349782,0,3,2018,andhra-pradesh
chittoor district,515727,0,3,2018,andhra-pradesh
east godavari district,694455,0,4,2018,andhra-pradesh
srikakulam district,284874,0,4,2018,andhra-pradesh
visakhapatnam district,978288,0,4,2018,andhra-pradesh
prakasam district,394962,0,4,2018,andhra-pradesh
anantapur district,510892,0,4,2018,andhra-pradesh
kurnool district,498582,0,4,2018,andhra-pradesh
guntur district,659552,0,4,2018,andhra-pradesh
krishna district,682479,0,4,2018,andhra-pradesh
spsr nellore district,407495,0,4,2018,andhra-pradesh
vizianagaram district,257824,0,4,2018,andhra-pradesh
ysr district,387058,0,4,2018,andhra-pradesh
west godavari district,435668,0,4,2018,andhra-pradesh
chittoor district,665280,0,4,2018,andhra-pradesh
east godavari district,839277,0,1,2019,andhra-pradesh
srikakulam district,345775,0,1,2019,andhra-pradesh
visakhapatnam district,1174517,0,1,2019,andhra-pradesh
prakasam district,474260,0,1,2019,andhra-pradesh
anantapur district,612162,0,1,2019,andhra-pradesh
kurnool district,599422,0,1,2019,andhra-pradesh
guntur district,802394,0,1,2019,andhra-pradesh
